"[-1608.20767602 -3791.67445029  2213.05146239  -943.89776844  1894.50247021
   -48.97758586 -1151.88005912 -1545.71058753  -167.72859127   410.58913664
  -613.25214906  1620.83002496  -325.16483303    50.31498114  -305.99866912
    88.83372732   -56.72008197  -809.73978475  -471.17902594   746.97828812
  -123.83645531   233.7422331   -206.55777942  -199.26547336  -253.98452117
    70.55228494   -19.0598494    401.76674793   -31.9404364   -351.15657844
  -555.02881758   380.41932296   219.7095749    465.26749798   124.80721566
     6.86929226   -14.28388543  -182.34177887   486.18327241  -408.06741345
   109.35559699    82.82825962   223.00290209   213.45288662  -352.44456674
  -528.9474713    -18.90416362    61.26562821   142.1400765    -27.90816615
  -152.5761393     73.78719735   -84.14591426   566.80089946   624.19689493
  -122.28770686   218.20662692   337.5540219    183.82045171   -35.79575773
    29.5641652   -293.45759415  -116.41910649    17.6124442 ]"
"[-2799.59485653   589.92038372  1535.04137548 -4459.5442915   -674.65724097
   826.89710146  1169.96666305 -1433.95091825 -1058.51786645   357.86029201
  1064.26567992   619.50399727  -433.64926954   238.95515587   684.83121251
   779.85031233  -511.33255405   581.78672208   855.90196581  -536.35293589
  1012.61131906  -445.85285151  -149.20204792  1470.29940083   152.02385338
  -268.4138229   -392.81201319    40.58951624  -314.97727631  -454.72398102
  1347.10793414  -258.78076398   437.25667576   523.91959799   260.92684532
   200.96675731   241.94792573  -516.99727103   352.25131371  -476.72767076
  -392.35447786   -24.82203844    75.5138186    160.01230841   740.85727219
   144.95921202  -464.74033155  -389.05714629   288.46075175   757.88785348
    84.18294295  -379.992214     225.98081885  -172.56343729   292.953751
    89.45158171  -184.35612865   416.80683284    33.92214481  -456.8484263
   635.01774589  -381.08777629   -69.91354719  -168.58022817]"
"[ -4.74786758e+03  -2.94295005e+03  -2.08399274e+03  -1.66317174e+03
  -1.25313020e+03   1.23828937e+03   1.31071507e+03   9.32576636e+02
  -1.56248504e+03  -5.96930721e+02  -9.95917862e+02  -2.59535787e+02
  -2.16561162e+02  -1.18371278e+03   9.08094564e+02  -1.84758457e+03
   1.39176126e+03  -4.74917727e+02  -2.21968183e+02  -6.01270292e+02
   6.30453196e+02   1.10444746e+03   1.16398213e+03  -1.41174193e+02
  -7.41641963e+02   4.14108024e+02   1.74704974e-01  -5.54312563e+02
   3.39645218e+02   6.24966307e+02  -3.18392333e+02   1.10746241e+03
   7.45262986e+02  -5.16225833e+02   2.97859035e+02   1.29126762e+02
  -1.00415852e+03   2.51124908e+02   7.53425063e+01  -1.80329266e+01
  -1.24602582e+03   5.15409000e+02   1.75409628e+02  -2.06946591e+02
   3.38606735e+02   1.90479918e+02  -2.59709053e+02  -1.35898051e+02
  -7.57421252e+01   1.20552038e+03   3.58456918e+02  -3.13538297e+02
  -3.62363028e+02   7.64784565e+01   4.21791147e+02  -1.19491210e+02
