"[ -4.62374220e+03  -2.68188427e+03   8.93712413e+02   1.05721949e+03
   4.74260812e+02   6.59214736e+02  -4.02800191e+01   6.68848989e+02
   7.00319533e+02   2.70465676e+02  -1.56951563e+03  -7.26285270e+02
   1.01066565e+03   1.01653482e+02  -1.17575897e+03   1.78844133e+02
   4.68818792e+02  -4.76282752e+02  -4.26125725e+01  -1.19331513e+03
  -3.46460243e+01   1.63087951e+02   2.32779721e+02   5.49830922e+02
   3.10824855e+02   3.28025751e+02   1.64405856e+02  -1.49087181e+02
   1.81118401e+02  -1.96272035e+02   7.30847363e+02  -2.19199938e+02
   6.26473806e+02   3.06992961e+02  -7.31187625e+02   2.64939976e+02
   3.62989602e+02  -3.46788918e+01   2.29570574e+02   4.39831214e+02
   5.51286731e+02  -9.52792261e+02  -5.25825756e+02   2.03794401e+02
   3.10230964e+02   5.33616012e+01   3.05012212e+01  -7.64509870e+01
  -3.90763420e+02   1.32648396e+02  -4.43003016e+02  -4.85529320e+02
  -5.71656261e+02  -6.75211496e-01  -1.89810558e+02   8.40414592e+02
   2.05051339e+02   7.15297145e+02   1.17793533e+02   2.46545330e+02
   3.03076017e+02   5.28936593e+02  -2.40354673e+01   4.08026554e+01]"
"[-3236.7973478   3215.98169288  4606.5267391   1268.51694499  -811.3162022
  -168.03712398  2079.94442626   202.66692834  -328.87915354   675.80158935
   193.19813598   993.12086124 -1378.4957697   -373.64416034  -374.10195179
   295.93314354  -944.6863409   1262.89057769   300.98559864  1484.00512972
   317.94922924   318.75766642  -299.37750881  -412.70081954   589.61582041
  -568.58700654  -462.56438166    99.09009016  -139.37184436    94.34615819
   318.06149071  -175.28719391   188.59717501   742.84835424   125.23002345
  -293.65072354   417.53478043   -95.275772     558.57359756   214.29881946
  -305.74063531   -17.00598793   419.45376772  -194.63276489   246.79383759
   549.5206803   -157.13488025   170.02362076   206.51512183    97.72295804
  -698.08122574  -323.46210713    61.03728126   205.67288761   228.27466358
   294.42275697    53.66608902  -751.98560702  -148.80314075    60.11012495
   472.05127007   438.77150055   -43.67063323   119.61717921]"
"[ -4.93311327e+03   2.00392622e+03  -8.29425168e+02   4.20298934e+02
  -2.10047907e+03   1.35316346e+03  -6.13386779e+02   1.47140293e+03
   8.78285755e+02  -6.40013811e+02  -7.35438416e+01   2.90004661e+03
   4.33705474e+02   5.05977202e+02   2.67436410e+02  -2.34799305e+03
  -1.15345373e+03   1.45180697e+03  -4.11982269e+02   6.29139721e+02
  -1.31681071e+03  -6.19951674e+02  -2.92073567e+02   1.53628186e+03
  -3.63991058e+02   5.08167398e+02   2.80468881e+02  -6.82753640e+02
   4.27560927e-01  -5.14845846e+02   1.04227174e+02  -5.37076819e+02
  -7.44194267e+01   2.27726021e+02   2.97085158e+02   2.70529886e+02
   6.19525839e+02  -7.39082021e+01   5.27702654e+02   3.61115734e+02
   4.13192203e+02   1.21144674e+02   8.97817437e+01   1.84298992e+02
  -6.13743629e+02  -3.68729100e+02   7.08201459e+02  -3.56091700e+02
   3.28721506e+02   6.74679837e+02   6.24462343e+02   5.50236270e+01
  -3.43880013e+02  -3.44974367e+02  -2.35433033e+02  -6.80992037e+02
  -4.05610388e+02   1.39226482e+02   3.31133227e+02  -3.27274974e+01
  -3.22695819e+02   9.43645916e+01   1.24790786e+02  -4.80399619e+01]"
"[  6.87452317e+02  -6.08160820e+03   4.27741512e+03   1.84252479e+03
